1299.72,427,855,35273,119887,501,501,494,499,38.525,19.289,25,1,2,20.907,68,9,9,518, 3.639,537,7.364,3,1,balll
2224.14,112,225,51327,179529,501,501,494,499,104.675,12.39,17,1,2,12.426,43,7,7,110, 0.674,139,5.3,3,1,balll
103.295,27,55,2490,9215,502,502,496,499,2.312,5.631,12,2,4,14.79,36,1,1,0, 0.096,32,5.668,3,1,balll
869.485,34,69,20199,70705,502,502,496,499,37.219,7.426,14,2,4,15.939,38,1,1,6, 0.119,42,6.726,3,1,balll
136.229,21,43,2363,9075,555,555,553,555,1.595,0,0,0,0,59.156,31,7,7,0, 0.033,21,4.787,3,1,balll
622.363,21,42,12805,48457,555,555,553,555,20.509,0,0,0,0,74.263,30,7,7,0, 0.036,21,4.712,3,1,balll
2265.57,734,1469,60993,232000,508,508,505,506,78.36,14.061,19,0,0,28.693,71,1,1,1728, 9.033,1092,8.759,3,1,balll
6752.5,518,1037,170605,644255,508,508,505,506,303.432,13.825,19,0,0,26.714,68,1,1,1162, 7.204,781,9.021,3,1,balll
1292.14,261,522,18892,68201,535,535,525,531,19.581,11.944,14,2,4,491.499,74,32,32,182, 1.305,283,17.036,3,1,balll
3762.39,123,246,71601,261655,535,535,525,531,141.174,13.638,17,2,4,448.788,66,31,31,54, 0.617,130,15.324,3,1,balll
83.263,23,47,2006,7532,475,475,468,475,1.649,8.313,6,3,6,8.118,23,3,3,0, 0.025,23,4.081,3,1,balll
730.516,23,47,13834,50592,475,475,468,475,45.41,8.595,6,3,6,9.426,23,4,4,0, 0.025,23,4.214,3,1,balll
154352,48692,97385,3067351,11052022,538,538,533,537,4768.06,778.345,1128,1,2,3522.17,7010,3300,3300,89547, 1495.48,66131,182.454,3,1,balll
6164.01,564,1129,137995,495996,538,538,533,537,235.509,5.594,4,1,2,259.458,368,111,111,395, 8.378,725,35.974,3,1,balll
696.307,31,63,3460,13264,487,487,485,487,2.22,0.74,2,0,0,592.817,40,15,15,0, 0.088,31,7.652,3,1,balll
2252.12,76,153,23561,86192,487,487,485,487,29.99,3.787,8,0,0,1444.8,100,36,36,0, 0.537,77,17.363,3,1,balll
36.753,14,28,1204,4899,443,443,443,443,0.995,0,0,0,0,2.701,18,0,0,0, 0.019,14,2.107,3,1,balll
255.171,14,29,5281,20639,443,443,443,443,13.288,0,0,0,0,2.618,18,0,0,0, 0.019,14,2.054,3,1,balll
89.392,22,45,2194,8427,564,564,559,562,1.556,6.898,4,2,4,12.124,27,5,5,0, 0.04,22,3.854,3,1,balll
479.72,21,43,9874,37800,564,564,559,562,19.405,6.864,4,2,4,10.333,27,3,3,0, 0.042,21,4.01,3,1,balll
989.29,38,76,17544,67757,577,577,575,577,31.682,0,0,0,0,199.775,47,24,24,0, 0.215,38,7.608,3,1,balll
449.634,15,31,9211,35609,538,538,534,536,18.993,3.797,6,1,2,6.066,16,0,0,0, 0.023,16,3.868,3,1,balll
1138.01,39,78,20953,80149,548,548,542,547,50.763,19.974,15,3,6,26.315,58,14,14,114, 0.536,67,6.466,3,1,balll
657.979,22,45,18747,61405,529,529,525,528,26.06,10.454,4,1,2,16.808,23,1,1,0, 0.031,22,10.434,3,1,balll
38692.4,1542,3085,749285,2660332,537,537,526,533,1694.75,35.814,62,4,8,60.458,193,23,23,3488, 19.395,2246,13.149,3,1,balll
310.35,13,26,7878,28055,545,545,541,543,12.698,21.408,6,3,6,2.742,9,0,0,0, 0.015,14,3.144,3,1,balll
889.343,54,108,15893,59016,573,573,570,573,20.315,14.624,3,1,2,272.335,61,41,41,0, 0.395,54,15.196,3,1,balll
661.505,28,57,13632,52175,483,483,480,482,29.134,1.508,2,1,2,12.728,38,3,3,0, 0.042,29,4.893,3,1,balll
1073.61,49,98,13215,48937,567,567,559,567,21.841,11.998,6,3,6,462.293,44,38,38,0, 0.346,49,7.917,3,1,balll
1105.2,32,65,30008,99358,506,506,501,504,41.875,11.915,4,1,2,15.48,30,2,2,7, 0.085,34,10.908,3,1,balll
